Date,Price,Open,High,Low
12-Sep-17,54.27,53.77,54.44,53.42
11-Sep-17,53.84,53.82,54.14,53.04
8-Sep-17,53.78,54.54,54.87,53.57
7-Sep-17,54.49,54.13,54.67,53.89
6-Sep-17,54.2,53.16,54.31,53.09
5-Sep-17,53.38,52.3,53.66,52.09
4-Sep-17,52.34,52.85,52.85,51.99
1-Sep-17,52.75,52.84,52.95,52.24
31-Aug-17,52.38,50.58,52.43,50.56
30-Aug-17,50.86,51.97,52.01,50.58
29-Aug-17,52,52.04,52.19,51.36
28-Aug-17,51.89,52.38,52.84,51.52
25-Aug-17,52.41,52.3,52.68,51.93
24-Aug-17,52.04,52.55,52.71,51.61
23-Aug-17,52.57,51.68,52.63,51.45
22-Aug-17,51.87,51.78,52.28,51.39
21-Aug-17,51.66,53,53,51.3
18-Aug-17,52.72,50.89,52.96,50.78
17-Aug-17,51.03,50.4,51.12,50
16-Aug-17,50.27,50.98,51.4,50.15
15-Aug-17,50.8,50.65,51.15,50.02
14-Aug-17,50.73,52.02,52.38,50.55
11-Aug-17,52.1,51.94,52.28,51.3
10-Aug-17,51.9,52.72,53.64,51.67
9-Aug-17,52.7,51.99,52.85,51.81
8-Aug-17,52.14,52.24,52.73,51.82
7-Aug-17,52.37,52.39,52.53,51.37
4-Aug-17,52.42,51.97,52.52,51.43
3-Aug-17,52.01,52.24,52.89,51.77
2-Aug-17,52.36,51.38,52.43,51.18
1-Aug-17,51.78,52.7,52.93,50.88
31-Jul-17,52.65,52.6,52.92,52.2
28-Jul-17,52.52,51.6,52.7,51.31
27-Jul-17,51.49,50.86,51.64,50.5
26-Jul-17,50.97,50.63,51.06,50.07
25-Jul-17,50.2,48.64,50.91,48.63
24-Jul-17,48.6,47.96,48.77,47.68
21-Jul-17,48.06,49.33,49.65,47.81
20-Jul-17,49.3,49.65,50.19,49.19
19-Jul-17,49.7,48.7,49.81,48.58
18-Jul-17,48.84,48.4,49.41,48.24
17-Jul-17,48.42,49.14,49.26,48.31
14-Jul-17,48.91,48.37,49.11,48.15
13-Jul-17,48.42,47.7,48.53,47.18
12-Jul-17,47.74,48.21,48.79,47.35
11-Jul-17,47.52,46.99,48.21,46.29
10-Jul-17,46.88,46.84,47.38,46.11
7-Jul-17,46.71,47.76,47.76,46.28
6-Jul-17,48.11,48.28,49.18,47.77
5-Jul-17,47.79,49.67,49.84,47
4-Jul-17,49.61,49.63,49.9,49.29
3-Jul-17,49.68,48.95,49.71,48.54
30-Jun-17,47.92,47.46,48.12,47.46
29-Jun-17,47.42,47.39,48.03,47.14
28-Jun-17,47.31,46.25,47.47,46.25
27-Jun-17,46.65,45.85,47.06,45.79
26-Jun-17,45.83,45.63,46.24,45.04
23-Jun-17,45.54,45.28,45.75,45.03
22-Jun-17,45.22,44.81,45.79,44.53
21-Jun-17,44.82,45.89,46.63,44.35
20-Jun-17,46.02,46.96,47.23,45.42
19-Jun-17,46.91,47.21,47.76,46.77
16-Jun-17,47.37,46.82,47.61,46.81
15-Jun-17,46.92,46.8,47.2,46.7
14-Jun-17,47,48.18,48.69,46.74
13-Jun-17,48.72,48.32,48.82,47.87
12-Jun-17,48.29,48.06,49.15,48.01
