Company Symbol,Security,GICS Sector,GICS Sub-Industry,Shares,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020
NEE,NextEra Energy,Utilities,Multi-Utilities,1959074000,59.66,66.7,67.09,54.56,56.76,63.91,61.57,69.4,69.28,70.69,75.13,74.15
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,356999000,20.12,20.61,18.12,11.85,13.96,14.57,14.63,14.42,14.88,14.18,14.03,16.13
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1271479000,102.2,99.27,92.68,79.23,85.54,99.54,97.4,98.33,114.84,126.64,122.39,135.44
NI,NiSource Inc.,Utilities,Multi-Utilities,383212000,27.18,29.79,28.56,23.06,24.47,24.21,23.46,23.98,21.39,22,23.45,24.49
NSC,Norfolk Southern Corp.,Industrials,Railroads,253985000,196.8,206.99,182.59,140.01,170.73,178.34,171.52,190.47,215.3,211.85,215.06,238.75
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,208121000,107.58,97.66,88.49,73,75.47,80.67,76.94,79.28,82.08,77.05,79.05,93.27
NOC,Northrop Grumman,Industrials,Aerospace & Defense,166716000,355.7,363.75,335.99,306.99,328.06,330.67,308.14,323.59,340.38,311.81,296.63,301.1
NLOK,NortonLifeLock,Information Technology,Application Software,591870000,26.02,17.15,19.93,18.76,20.86,21.71,19.77,21.96,23.82,20.71,20.94,18.23
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",315636000,58.83,54.19,35.59,9.55,13.84,17.29,16.42,13.06,16.94,17.34,16.17,22.94
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,244221000,38.8,37.54,34.17,26.84,32.97,36.09,33.15,33.47,34.17,30.63,32.17,33.36
NUE,Nucor Corp.,Materials,Steel,301929000,55.12,47.94,42.7,35.9,41,42.46,40.38,42.86,46.64,45.05,48.87,54.93
NVDA,Nvidia Corporation,Information Technology,Semiconductors,619000000,239.91,240.33,276.43,243.07,282.78,352.25,381.2,440.41,552.84,544.58,503.23,535.6
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,3720000,3735.5,3810,3788.31,2410,3036.9,3204.14,3185.9,3874.2,4186.88,4228.31,4029.27,3994.22
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,72448000,437.52,406.23,378.39,287.25,376.37,417.6,426.08,473.79,473.2,463.56,441.46,453.56
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,931209000,42.58,40.08,32.95,10.74,15.24,13.81,17.41,15.25,12.48,9.68,9.65,15.13
ODFL,Old Dominion Freight Line,Industrials,Trucking,117331000,128.02,132.57,133.39,122.33,147.03,168,168.36,182.42,204.13,182.77,193.75,211.04
OMC,Omnicom Group,Communication Services,Advertising,214973000,79.87,75.64,70.36,51.67,55.89,55.58,54.54,53.7,53.02,49.57,48.72,63.37
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,444397000,75.71,74.44,69.13,19.2,27.94,38.14,32.18,28.12,27.15,25.27,29.23,36.47
